entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
carang2,carang2,tSaran,,,,,,,,,,,,False,无有效定义,incomplete
mencari indu,cari,,,,,,,,,Mn,,,,False,无有效定义,incomplete
mencari maut,cari,,b,,,,,,,,,,,False,无有效定义,incomplete
mencari pasal,cari,,,,bahasa basahan,mencari fasal;,,,,,,,,False,拟声词,interjection
mencari-cari,cari,mentSari tSari,,kata kerja transitif,,[,,,,,,,,False,无有效定义,incomplete
carik3,carik3,tsari?,,,,,,,,,,,,False,无有效定义,incomplete
caruh2,caruh2,tSaruh,,,,>,,,,,,,,False,无有效定义,incomplete
cas5,cas5,tSas,,,bahasa basahan,lihat caj,,,,,,,caj,False,拟声词,interjection
"cascus, cascusan","cascus, cascusan",,1,kata nama,bahasa basahan,bunyi sso berjalan keluar masuk sesebuah bilik berulang kali;. adjektif,,,,,,,,False,拟声词,interjection
"cascus, cascusan","cascus, cascusan",,2,adjektif,bahasa basahan,(berkenaan dengan sso) banyak cakap.,,,,,,,,False,拟声词,interjection
cat bakar,mengecat;,,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
catar,catar,tSatar,1,kata nama,bahasa basahan,carter;,,,,,,kt,,False,拟声词,interjection
catar,catar,tSatar,2,kata kerja transitif,bahasa basahan,lihat mencatar;,,,,,,,mencatar;,False,拟声词,interjection
cated,cated,tSated,,kata nama,bahasa basahan,carter.,,,,,,,,False,拟声词,interjection
catit,catit,tSatit,,,,.,,,,,,,,False,无有效定义,incomplete
